doc	0	1	2	3	4
1	0.0003697640878040415	0.00036827142397238865	0.0003636692945108098	0.9985387022145654	0.00035959297914723296
2	0.000450314966077269	0.00044626568460158413	0.00044769247212678674	0.9982088871979253	0.0004468396792689165
3	0.9959854009405956	0.0010081476993502936	0.0010032411812998792	0.0010088685086598512	0.0009943416700943653
4	0.010159225848369464	0.6332111081410099	0.0010473104614153513	0.35452880832184885	0.0010535472273564134
5	0.001156290179090965	0.9953521622736794	0.001164258631992722	0.0011779960999396457	0.0011492928152971957
6	0.0007749887038731871	0.0007749817286416093	0.9969121816989229	0.0007687718988121006	0.0007690759697501343
7	0.029195046351097147	0.9680017409479416	0.0009439445411884578	0.000940014163512439	0.0009192539962603148
8	0.39391164370589016	0.23574075813670856	0.06364391301575294	0.2627753763552574	0.04392830878639085
9	0.0017387119672749158	0.8514694900380405	0.0017413000611168335	0.14332134205092725	0.0017291558826405958
10	0.0006448368142539259	0.9974304813811391	0.0006393965395756085	0.0006441307752203586	0.000641154489810947
11	0.03574168443864551	0.9628013061434831	0.0004912206484444653	0.00048505672555194295	0.0004807320438748429
12	0.0007024316959908857	0.5162041455538393	0.3150931716505614	0.0007091130574617691	0.1672911380421466
13	0.03452752072081017	0.9638576322875924	0.0005367147016606151	0.0005349294771279591	0.0005432028128091217
14	0.000591576372814643	0.0005893090680420487	0.9976431079590925	0.0005889537651216617	0.0005870528349291019
15	0.11370304159179774	0.8772585320744699	0.0030274507114782427	0.0030011361342813687	0.003009839487972852
16	0.0005718077117648316	0.000573351011272158	0.0005725452318983002	0.9977136347548897	0.0005686612901748885
17	0.000718785958517456	0.000710444071745834	0.4081171896934964	0.5748996375077361	0.015553942768504268
18	0.0010453012916748095	0.0010553234102247296	0.0010417233151974099	0.9888581405197417	0.007999511463161295
19	0.0004102404276124074	0.539515798446982	0.43034424082327083	0.00041128648565698535	0.02931843381647781
20	0.8971006471640903	0.10066230352998834	0.0007546018134108761	0.0007436750311182029	0.0007387724613919439
21	0.001582580135130099	0.7929953583852756	0.20225771684279437	0.0015981168524749356	0.0015662277843250987
22	0.7689750563957896	0.2286848766132549	0.0007800696172849228	0.000787643631343724	0.0007723537423269857
23	0.0016316809461621067	0.8194667454137228	0.0016633836887078323	0.17560152357746558	0.0016366663739416716
24	0.0005272120324962595	0.4844861748784916	0.0005303536625769811	0.0005291490859769107	0.5139271103404582
25	0.0005944749966776515	0.9976008336943858	0.0006025985582589225	0.0006015480157794998	0.0006005447348980844
26	0.001356147339608274	0.2758002791425751	0.7201368700551973	0.0013606789846168546	0.001346024478002496
27	0.1592178939955329	0.8390878959786795	0.0005662791049585095	0.0005650039507542607	0.0005629269700750015
28	0.09440571558206494	0.9009379690122509	0.0015356693544051508	0.0015926584201757768	0.0015279876311033518
29	0.0009262547555347712	0.728118437727759	0.014347513261320027	0.255692941221973	0.0009148530334132951
30	0.35192336037407196	0.3619768608104645	0.0005364846625178078	0.2850229182298623	0.0005403759230834591
31	0.8287875483293937	0.1624891576088357	0.008012577259763409	0.00035447087501212787	0.00035624592699500586
32	0.0004987504548814785	0.0005018072397455131	0.9979923313451718	0.0005091477841738527	0.0004979631760272735
33	0.0005209471103186534	0.21363110282386416	0.07087215702514973	0.6602089684129656	0.05476682462770198
34	0.15137313604821065	0.8466550629577335	0.0006570030731516083	0.0006554011219247801	0.0006593967989795501
35	0.001849419859535435	0.8728176878359399	0.001897349837040078	0.12157866446980156	0.0018568779976830124
36	0.026201554366169683	0.7159861441364114	0.002327112635768369	0.2532129803767536	0.002272208484896938
37	0.1265027324724509	0.7776185371971497	0.0008737649696379083	0.09413836897506249	0.0008665963856990662
38	0.001004357073000187	0.9959587994992743	0.0010120889417784885	0.0010041216899286825	0.0010206327960182908
39	0.9988707683195973	0.0002841326588949862	0.0002812559882459816	0.0002828269510124888	0.0002810160822493088
40	0.0012152398916349858	0.6587393932016987	0.0012439249418238145	0.28731248131611636	0.051488960648726115
41	0.0005482866824242835	0.890749036430682	0.10759892504894446	0.0005532160633732885	0.0005505357745758029
42	0.9982948882979292	0.00042616829856228583	0.00043029128964343805	0.0004252734695888191	0.00042337864427629814
43	0.005131372740469772	0.9933193641471021	0.0005122737417697883	0.0005195956003434959	0.0005173937703147084
44	0.0025673531702810285	0.7801334240142037	0.002528419730897109	0.2122635657127209	0.002507237371897353
45	0.0008299205357469322	0.9788972669802315	0.0008350971955562302	0.0008334502521264847	0.018604265036338833
46	0.0012281526870653486	0.0012496671211697419	0.0012463682150996504	0.9950494124131118	0.001226399563553376
47	0.2601574466484419	0.7385788342702705	0.0004249428541176908	0.00042401914294907107	0.00041475708422079275
48	0.0009574896155751374	0.17829126898219896	0.0009575877769974184	0.000958654555443595	0.8188349990697849
49	0.0010060823300893842	0.0010122552560323554	0.0010101172866072933	0.0010107220656464279	0.9959608230616245
